lci_id;direction;influencer;influenced;qty;unit
route1;input;Battery;Limestone (CaO);0.000483108;kg
route1;input;Battery;Sand (SiO2);0.000250013;kg
route1;input;Battery;Oxygen;0.000188932;kg
route1;input;Battery;Sulfuric acid (95%);-14397.10783;kg
route1;input;Battery;Water;0.010440983;kg
route1;input;Battery;Iron;0.000115192;kg
route1;input;Battery;Hydrogen peroxide;-92160770.35;kg
route1;input;Battery;Sodium hydroxide;0.001099712;kg
route1;input;Battery;Kerosene;-3529.726474;kg
route1;input;Battery;Cyanex 272 ;-1588.376913;kg
route1;input;Battery;D2EHPA;2.94E-07;kg
route1;input;Battery;Sodium carbonate;0.000209153;kg
route1;input;Battery;Natural gas (CH4);0.128452843;kg
route1;input;Battery;Electricity;3991845600;kg
route1;output;Battery;Electricity;0.014952065;kg
route1;output;Battery;Aluminium;0.000431169;kg
route1;output;Battery;Steel;0.000108059;kg
route1;output;Battery;Copper;0.000134516;kg
route1;output;Battery;Electronic waste;1.07E-05;kg
route1;output;Battery;Cable;5.62E-06;kg
route1;output;Battery;Waste (incineration);1.18E-07;kg
route1;output;Battery;Iron hydroxide Fe(OH)3;0.000282356;kg
route1;output;Battery;Kerosene;-3529.726474;kg
route1;output;Battery;Cyanex 272;-1512.739917;kg
route1;output;Battery;NiSO4 * 6 H2O;-0.000601316;kg
route1;output;Battery;CoSO4 * 7 H2O;0.000145546;kg
route1;output;Battery;Wastewater;0.001357248;kg
route1;output;Battery;Calcium sulfate;0.001447022;kg
route1;output;Battery;Silicon;0.000242563;kg
route1;output;Battery;Aluminium hydroxide;0.000207865;kg
route1;output;Battery;D2EHPA;2.00E-07;kg
route1;output;Battery;MnSO4 * 1 H2O;0.000324281;kg
route1;output;Battery;Li2CO3 (anhydrous);9.69E-05;kg
route1;output;Battery;Water;-92175167.47;kg
route1;output;Battery;Wastewater;-92175167.48;kg
route1;input;Nickel;Limestone (CaO);0;kg
route1;input;Nickel;Sand (SiO2);0;kg
route1;input;Nickel;Oxygen;0;kg
route1;input;Nickel;Sulfuric acid (95%);102905.1164;kg
